品牌,新车价格,里程(万公里),价格
98.0,29.2,3.66,17.78
123.0,11.3,7.6,2.38
156.0,14.6,5.94,4.38
160.0,15.8,1.18,8.98
129.0,14.62,0.92,9.48
155.0,12.85,6.89,5.89
59.0,16.71,8.66,6.33
167.0,15.93,4.44,7.08
96.0,27.04,11.59,7.36
59.0,14.74,5.56,7.49
146.0,13.07,4.3,7.69
64.0,16.83,4.57,8.88
96.0,16.61,3.31,9.18
39.0,27.0,4.83,11.28
37.0,30.75,5.74,12.32
55.0,19.08,1.52,13.48
73.0,38.08,5.47,16.28
123.0,23.35,2.48,16.98
62.0,24.8,2.57,18.93
73.0,34.77,2.11,19.98
73.0,38.87,5.92,23.38
123.0,10.41,5.6,2.2
110.0,11.51,5.11,2.93
27.0,6.29,0.69,3.68
146.0,6.53,0.6,4.08
39.0,23.02,5.6,4.08
135.0,10.3,5.76,4.63
144.0,15.38,9.6,4.71
55.0,8.2,2.84,5.08
25.0,14.27,8.25,5.66
39.0,14.39,0.47,7.56
73.0,22.56,6.11,8.38
102.0,14.6,3.15,9.06
59.0,14.73,0.81,9.58
102.0,13.38,0.94,9.89
59.0,14.73,1.13,10.26
64.0,18.37,5.15,10.38
25.0,22.24,4.54,11.96
96.0,24.78,4.29,13.28
96.0,21.79,2.91,13.55
39.0,29.22,3.88,16.18
73.0,39.62,1.28,20.28
96.0,32.06,2.56,23.68
37.0,42.83,0.77,26.68
55.0,8.53,6.19,3.72
63.0,16.78,3.08,9.61
96.0,26.66,1.85,13.18
6.0,25.66,4.03,14.38
28.0,8.2,5.64,2.36
55.0,11.62,6.12,4.98
25.0,10.18,7.77,4.98
59.0,12.97,4.72,5.51
39.0,18.48,6.78,5.98
59.0,16.07,7.64,6.68
59.0,13.3,2.92,6.78
64.0,12.96,1.06,6.98
55.0,12.51,3.93,6.98
129.0,13.61,2.31,7.48
146.0,14.17,1.56,8.68
102.0,15.71,1.5,9.38
129.0,20.25,2.51,10.38
70.0,35.1,8.31,11.38
37.0,31.4,3.39,16.89
73.0,48.81,4.35,31.68
70.0,46.93,2.38,31.98
27.0,7.1,4.58,3.05
74.0,8.2,8.57,3.31
116.0,5.99,0.81,3.68
21.0,9.75,1.86,6.28
146.0,10.41,3.43,6.28
155.0,17.05,5.07,6.56
64.0,12.63,1.69,6.71
5.0,20.35,6.39,7.08
96.0,15.95,4.98,8.18
160.0,18.81,5.19,9.81
163.0,17.37,3.05,10.08
102.0,18.7,4.02,10.78
96.0,27.65,6.34,15.28
80.0,25.77,2.4,17.68
146.0,4.54,4.9,1.16
66.0,4.87,4.75,1.57
27.0,5.28,1.27,3.28
15.0,11.52,4.06,3.98
160.0,18.7,4.49,10.28
64.0,36.1,2.24,22.86
58.0,10.84,4.91,6.38
167.0,21.35,4.57,7.48
64.0,15.94,2.57,7.79
91.0,19.14,4.75,9.28
160.0,16.93,3.1,9.63
64.0,18.48,3.71,10.26
102.0,26.98,5.88,14.18
113.0,32.73,3.19,20.6
55.0,4.87,0.42,3.38
59.0,10.98,4.27,4.38
64.0,13.72,11.87,5.1
22.0,7.1,0.55,5.28
55.0,9.3,4.22,5.38
102.0,13.73,3.93,5.98
25.0,14.94,7.07,6.0
39.0,10.86,2.25,6.13
146.0,9.97,4.53,6.28
116.0,20.36,8.78,6.78
64.0,17.15,5.26,6.89
64.0,18.25,7.84,7.26
25.0,16.71,6.66,7.33
14.0,11.29,2.04,7.38
80.0,15.05,5.84,7.58
64.0,14.07,3.58,7.76
25.0,22.57,6.69,8.3
80.0,15.93,4.93,9.53
163.0,21.47,4.55,9.88
25.0,17.82,2.24,10.06
146.0,13.4,1.15,10.58
146.0,15.94,0.17,11.92
123.0,23.12,1.05,13.68
39.0,28.1,5.03,13.96
70.0,38.43,3.53,16.13
80.0,20.36,4.0,16.18
64.0,23.25,2.04,16.48
37.0,39.18,5.26,18.88
62.0,24.12,3.4,19.29
113.0,35.53,1.77,22.86
73.0,43.61,3.56,27.18
66.0,13.4,1.32,8.78
146.0,13.39,8.47,4.85
25.0,9.96,3.45,5.11
80.0,16.7,9.01,7.28
146.0,13.73,2.52,7.46
102.0,12.49,3.06,7.75
113.0,32.73,4.36,20.06
27.0,4.75,1.51,2.73
59.0,9.54,4.25,5.76
64.0,11.63,1.72,5.86
64.0,11.74,5.61,5.91
163.0,15.94,7.24,6.41
